Full Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
sum_file_path,run_id,input_file_gen_date,scenario,parent_substance,crop_calendar,application_scheme,substance_evaluated,pec_gw,App_ID,Crop,Application Rate,Number of Applications,Interval,Application BBCH,Use BBCH for First or Last,AppDate Crop,Application Type,Injection/Incorporation Depth,Application Frequency
../2_wintercereals_1x25gha_BBCH11_B/3/3.sum,3,05/10/2025,Jokioinen,PXD,Joki-Wcereals,App_ID_2,M2,0.112522,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/3/3.sum,3,05/10/2025,Jokioinen,PXD,Joki-Wcereals,App_ID_2,M3,0.865149,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/3/3.sum,3,05/10/2025,Jokioinen,PXD,Joki-Wcereals,App_ID_2,M11,0.243407,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/3/3.sum,3,05/10/2025,Jokioinen,PXD,Joki-Wcereals,App_ID_2,M52,0.007619,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/3/3.sum,3,05/10/2025,Jokioinen,PXD,Joki-Wcereals,App_ID_2,M54,0.078417,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/3/3.sum,3,05/10/2025,Jokioinen,PXD,Joki-Wcereals,App_ID_2,M55,1.183602,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/3/3.sum,3,05/10/2025,Jokioinen,PXD,Joki-Wcereals,App_ID_2,M56,0.694401,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/4/4.sum,4,05/10/2025,Kremsmuenster,PXD,Krem-Wcereals,App_ID_2,PXD,0,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/4/4.sum,4,05/10/2025,Kremsmuenster,PXD,Krem-Wcereals,App_ID_2,M2,0.088739,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/4/4.sum,4,05/10/2025,Kremsmuenster,PXD,Krem-Wcereals,App_ID_2,M3,0.631202,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/4/4.sum,4,05/10/2025,Kremsmuenster,PXD,Krem-Wcereals,App_ID_2,M11,0.075667,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/4/4.sum,4,05/10/2025,Kremsmuenster,PXD,Krem-Wcereals,App_ID_2,M52,0.011986,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/4/4.sum,4,05/10/2025,Kremsmuenster,PXD,Krem-Wcereals,App_ID_2,M54,0.036645,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/4/4.sum,4,05/10/2025,Kremsmuenster,PXD,Krem-Wcereals,App_ID_2,M55,0.389009,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/4/4.sum,4,05/10/2025,Kremsmuenster,PXD,Krem-Wcereals,App_ID_2,M56,0.2384,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/5/5.sum,5,05/10/2025,Okehampton,PXD,Okeh-Wcereals,App_ID_2,PXD,0,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/5/5.sum,5,05/10/2025,Okehampton,PXD,Okeh-Wcereals,App_ID_2,M2,0.093954,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/5/5.sum,5,05/10/2025,Okehampton,PXD,Okeh-Wcereals,App_ID_2,M3,0.501253,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/5/5.sum,5,05/10/2025,Okehampton,PXD,Okeh-Wcereals,App_ID_2,M11,0.063339,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/5/5.sum,5,05/10/2025,Okehampton,PXD,Okeh-Wcereals,App_ID_2,M52,0.01294,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/5/5.sum,5,05/10/2025,Okehampton,PXD,Okeh-Wcereals,App_ID_2,M54,0.03142,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/5/5.sum,5,05/10/2025,Okehampton,PXD,Okeh-Wcereals,App_ID_2,M55,0.270707,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/5/5.sum,5,05/10/2025,Okehampton,PXD,Okeh-Wcereals,App_ID_2,M56,0.167742,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/6/6.sum,6,05/10/2025,Piacenza,PXD,Piac-Wcereals,App_ID_2,PXD,0,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/6/6.sum,6,05/10/2025,Piacenza,PXD,Piac-Wcereals,App_ID_2,M2,0.05548,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/6/6.sum,6,05/10/2025,Piacenza,PXD,Piac-Wcereals,App_ID_2,M3,0.598169,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/6/6.sum,6,05/10/2025,Piacenza,PXD,Piac-Wcereals,App_ID_2,M11,0.072003,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/6/6.sum,6,05/10/2025,Piacenza,PXD,Piac-Wcereals,App_ID_2,M52,0.007875,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/6/6.sum,6,05/10/2025,Piacenza,PXD,Piac-Wcereals,App_ID_2,M54,0.035426,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/6/6.sum,6,05/10/2025,Piacenza,PXD,Piac-Wcereals,App_ID_2,M55,0.635635,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
